Major_Group,Title,Deductive_Reasoning,Dynamic_Strength,Explosive_Strength,Fluency_of_Ideas,Inductive_Reasoning,Manual_Dexterity,Mathematical_Reasoning,Memorization,Oral_Comprehension,Oral_Expression,Perceptual_Speed,Reaction_Time,Selective_Attention,Stamina,Static_Strength,Visualization,Written_Comprehension,Written_Expression,ComplexProb,CritThink,Negotiation,Persuasion,SocPercept,TimeMgmt,Troubleshooting,NorthCarolina,SouthCarolina
25,Adapted Physical Education Specialists,3.88,2.12,2.12,3.38,3.38,3,2,2.75,4,4.12,2.75,1.88,3.12,3,3,2.38,3.88,3.88,2,2,2,3,2,2,2,63830,62450
25,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",3.5,1,1,3.25,3.25,1,2.88,2.75,3.88,4.25,2.62,1,3,1,1,2,4,4,2,2,3,2,2,2,1,53500,62920
25,"Agricultural Sciences Teachers, Postsecondary",4,1.75,1.38,3.38,4,2,3,3,4.12,4.5,2.12,1.75,2.62,1.75,1.88,2.12,4.12,4,2,2,2,2,2,2,1,97660,90010
25,"Anthropology and Archeology Teachers, Postsecondary",3.88,1.25,1,3.38,3.88,1.5,2.88,3,4.12,4.5,2.25,1,3,1,1,2.12,4.12,4.12,2,2,3,2,2,2,1,82580,78250
25,"Architecture Teachers, Postsecondary",4,1,1,3.5,3.88,1,3.12,2.88,4,4.25,2.38,1.25,2.88,1,1,3.5,4,4,2,2,3,2,2,2,1,85120,76140
25,Archivists,3.62,2,1.38,3,3.5,2,2.12,2.62,3.75,3.88,2.38,1,3,1.75,2,2.38,4,3.88,2,2,2,2,1,1,1,57460,51000
25,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",3.62,1,1,3.12,3.75,1,2,2.75,4,4.12,2.12,1,2.88,1,1,2,4,4.12,2,2,2,3,2,2,1,79590,73540
25,"Art, Drama, and Music Teachers, Postsecondary",3.5,1.38,1.25,3.5,3.62,2.12,2,2.5,4,4.25,2.12,1.38,2.88,1.25,1.62,3,4.12,4.12,2,2,2,2,2,2,1,71290,71710
25,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",4,1.12,1,3,4,1,3.38,3,4,4.75,2.12,1,2.75,1,1.25,2.12,4,4,2,2,2,2,2,1,1,110800,76730
25,"Biological Science Teachers, Postsecondary",4,1,1,3.38,4,1.75,3.12,2.75,4.12,4.62,2.25,1,2.88,1,1,2,4.12,4.12,2,2,2,2,2,2,1,90470,92420
25,"Business Teachers, Postsecondary",3.88,1,1,3,3.88,1,3.12,2.88,4,4.62,2.12,1,3,1,1,2.12,4.12,4.12,2,2,2,2,2,2,1,101140,95270
25,"Career/Technical Education Teachers, Middle School",3.88,1.88,1.38,3.25,3.75,2,2.75,2.75,4,4.12,3,1.88,3.12,1.88,1.88,2.75,4,3.88,2,2,2,2,2,1,2,52580,64760
25,"Career/Technical Education Teachers, Postsecondary",3.62,2,1.38,2.88,3.25,2.5,2.12,2.88,4,4,2.12,2,3,2,2,2.62,3.88,3.88,2,2,3,2,2,1,2,58260,72540
25,"Career/Technical Education Teachers, Secondary School",3.75,1.88,1.38,3.25,3.75,2.75,3,3,4.12,4.12,2.88,1.88,3.25,2,2.12,2.88,4,4,2,2,3,3,2,2,2,56600,64990
25,"Chemistry Teachers, Postsecondary",4,1,1,3.12,3.88,1.38,3,3,4,4.12,2.25,1,3.12,1,1,2.38,4,4.12,2,2,1,2,2,1,2,95460,91210
25,"Communications Teachers, Postsecondary",3.75,1,1,3,3.75,1.12,2.25,2.88,4.12,4.12,2.12,1,3,1,1,2,4,4,2,2,3,2,2,2,1,72590,74410
25,"Computer Science Teachers, Postsecondary",3.88,1,1,3.12,3.88,1.38,3,2.88,4.12,4.12,2.75,1,3.12,1,1,2.38,4,4,2,2,3,2,2,2,1,86080,89660
25,"Criminal Justice and Law Enforcement Teachers, Postsecondary",3.75,1,1,3,3.88,1,2,2.75,4,4.12,2,1,2.88,1,1,2,4,4,2,2,2,2,2,2,1,60130,71780
25,Curators,3.88,1.62,1.12,3.38,3.75,2,2.88,2.75,4,4,2.75,1,3.12,1.75,2.12,3.25,4,3.88,2,2,3,2,2,2,1,54420,56900
25,"Economics Teachers, Postsecondary",3.88,1,1,3.12,3.75,1,3.38,3,4,4.12,2.5,1,2.88,1,1,2.5,4,4,2,2,1,2,1,1,1,132670,110800
25,"Education Teachers, Postsecondary",3.88,1.12,1,3.12,3.88,1.75,2.12,2.62,4.12,4.38,2.12,1,2.88,1,1,2.12,4.12,4.12,2,2,2,2,2,2,1,72270,73740
25,"Elementary School Teachers, Except Special Education",3.88,1.38,1.38,3.88,4,1.5,3,2.88,4,4.62,2.62,1,3.12,2.12,2,2.62,3.88,3.88,2,2,3,3,2,2,1,51890,58650
