Major_Group,Title,Deductive_Reasoning,Dynamic_Strength,Explosive_Strength,Fluency_of_Ideas,Inductive_Reasoning,Manual_Dexterity,Mathematical_Reasoning,Memorization,Oral_Comprehension,Oral_Expression,Perceptual_Speed,Reaction_Time,Selective_Attention,Stamina,Static_Strength,Visualization,Written_Comprehension,Written_Expression,ComplexProb,CritThink,Negotiation,Persuasion,SocPercept,TimeMgmt,Troubleshooting,Alabama,NorthCarolina
13,Accountants and Auditors,3.75,1.62,1,2.88,3.75,1.12,3.38,2.38,4,3.88,3,1,2.88,1,1,2.12,3.88,3.75,2,2,2,2,2,2,1,80760,91240
13,"Agents and Business Managers of Artists, Performers, and Athletes",3.75,1,1,3.25,3.62,1.25,2.62,2,4,4.12,1.88,1,2.88,1,1,2,4,3.62,2,2,3,3,2,2,1, , 
13,Appraisers and Assessors of Real Estate,3.88,1.12,1.12,2.75,3.88,1.25,2.75,2.25,3.88,3.88,2.62,1.88,2.75,1,1.12,2.62,4,3.5,2,2,2,2,2,1,1, , 
13,Budget Analysts,3.75,1.12,1,3,3.62,1.5,3.88,2.25,3.88,3.88,3,1,3,1,1,2,3.88,3.62,2,2,2,2,1,1,1,99700,83000
13,Business Continuity Planners,3.88,1,1,3.88,4,1,2.75,2.5,4,4,2.88,1,3,1,1,2.62,3.88,4,2,2,3,3,2,2,1,103960,85440
13,"Buyers and Purchasing Agents, Farm Products",3.62,1.5,1,3,3.38,1.75,3.12,2.38,3.62,4,2.5,1,2.88,1.88,1.75,2.12,3.62,3.25,2,2,3,3,2,2,1, , 
13,"Claims Adjusters, Examiners, and Investigators",4,1.5,1,2.75,4,1.75,3,2.62,4.12,4.12,3,1,3,1,1,2.5,4.38,3.88,2,2,3,2,2,1,1,76630,75220
13,"Compensation, Benefits, and Job Analysis Specialists",3.62,1.25,1,3,3.62,1.38,3.12,2,3.88,4,2.62,1,3,1,1,2,3.88,3.38,2,2,3,2,1,1,1,66570,75130
13,Compliance Officers,3.88,1.62,1.62,3,3.5,1.62,2.12,2.5,4,4,2.75,1.75,3,1.75,1.62,2.5,4,4,2,2,3,3,2,2,1,74930,82190
13,Cost Estimators,3.75,1,1,3,4.12,1.12,4,2,4,4,2.88,1,3,1,1,3,3.88,3.75,2,2,3,2,2,1,1,74390,74660
13,Credit Analysts,3.75,1,1,2.88,3.88,1.62,3.75,2.38,3.88,4,3,1,2.88,1,1,1.88,3.88,3.38,1,2,1,1,1,1,1,103280,101150
13,Credit Counselors,3.75,1.38,1,3.12,3.75,1.5,3.12,2.12,4,4.12,2.62,1,3,1,1,2.12,3.88,3.75,2,2,3,3,2,2,1,49960,54650
13,Farm Labor Contractors,2.88,1.88,1,2.12,2.75,2.38,2.12,2.12,3.62,3.5,2.12,2.38,2.75,2,2.12,1.88,2.88,2.88,1,1,2,2,1,2,1, , 
13,Financial Examiners,4.12,1,1,3,4.12,1.12,3.5,2.75,4,4.12,3,1,3.12,1,1,2.38,4.25,4,2,2,2,2,2,2,1,83680,99100
13,Financial Quantitative Analysts,3.88,1.25,1,3.62,3.75,1.5,4.38,2.38,3.88,3.75,2.5,1,3.12,1,1,2,4,3.88,2,2,2,3,1,1,1,81090,90800
13,"Fraud Examiners, Investigators and Analysts",4,1.25,1,3,4,1.38,3,2.62,4.12,4,2.75,1,3.12,1,1,2,4,4.25,2,2,3,3,2,2,1,81090,90800
13,Fundraisers,3.75,1,1,3.75,3.88,1,3,2.38,4,4.12,2,1,2.75,1,1,2.25,4,4,2,2,3,3,2,1,1,59880,67440
13,Human Resources Specialists,3.88,1.25,1,2.75,3.25,1.5,2.25,2.25,4,4,2,1,2.88,1,1,2,4,3.88,2,2,3,2,2,1,1,69880,77920
13,"Insurance Appraisers, Auto Damage",3.25,1.5,1.38,2.38,3.25,2.12,2.62,2,4,4,2.38,1.5,3.12,1.38,1.62,2.38,3.75,3.62,1,2,2,2,1,2,2, ,73850
